trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.1, 'e': 0.4624853668753008}",25,19,-9.72680469740018,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.4535961214255773}",20,0,-25.313622644937773,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.1, 'e': 0.4446615167417068}",20,0,-7.8688078498672684,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.1, 'e': 0.4356824462767121}",30,15,18.737595105695412,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.42665980793015723}",20,0,-120.93062414222398,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
114,False,"{'a': 0.1, 'e': 0.41759450395835795}",30,15,-10.238506504320359,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.40848744088415717}",20,2,7.744413548832957,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.3993395294062732}",30,21,4.5911553032692725,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.3901516843082303}",20,14,-1.294580723992667,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.38092482436688185}",25,12,-21.097557686876097,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.371659872260533}",20,10,-49.75379848037165,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.1, 'e': 0.3623577544766736}",25,0,-34.43019433395336,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.1, 'e': 0.3530194012193304}",20,9,-50.88993992625461,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.1, 'e': 0.34364574631604705}",25,3,11.416020732513791,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.3342377271245026}",30,22,15.524522413106055,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
